day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,DIVING_GEAR,99999,6,99998,19,,,100001,6,100002,19,,,100000,0
0,100,DIVING_GEAR,99999,5,99998,12,,,100001,5,100002,12,,,100000,0
0,200,DIVING_GEAR,100002,2,100001,10,100000,14,100003,10,100004,14,,,100002.5,-2.875
0,300,DIVING_GEAR,99999,9,99998,11,,,100001,9,100002,11,,,100000,-1.140625
0,400,DIVING_GEAR,99993,19,,,,,99996,19,,,,,99994.5,4.484375
0,500,DIVING_GEAR,99990,22,,,,,99993,22,,,,,99991.5,7.3515625
0,600,DIVING_GEAR,99984,22,,,,,99987,22,,,,,99985.5,13.609375
0,700,DIVING_GEAR,99985,5,99984,16,,,99987,5,99988,16,,,99986,13.234375
0,800,DIVING_GEAR,99993,5,99992,10,,,99995,5,99996,10,,,99994,4.8046875
0,900,DIVING_GEAR,99990,9,99989,20,,,99992,9,99993,20,,,99991,7.9140625
0,1000,DIVING_GEAR,99986,7,99985,16,,,99988,7,99989,16,,,99987,11.828125
0,1100,DIVING_GEAR,99989,23,,,,,99991,7,99992,16,,,99990,8.75
0,1200,DIVING_GEAR,99991,18,,,,,99994,18,,,,,99992.5,6.515625
0,1300,DIVING_GEAR,99992,10,99991,14,,,99994,10,99995,14,,,99993,5.859375
0,1400,DIVING_GEAR,99986,22,,,,,99989,22,,,,,99987.5,11.7265625
0,1500,DIVING_GEAR,99986,5,99985,18,,,99988,5,99989,18,,,99987,11.921875
0,1600,DIVING_GEAR,99990,17,,,,,99993,17,,,,,99991.5,7.546875
0,1700,DIVING_GEAR,99982,10,99981,20,,,99984,10,99985,20,,,99983,16.0234375
0,1800,DIVING_GEAR,99979,10,99978,12,,,99981,10,99982,12,,,99980,18.9140625
0,1900,DIVING_GEAR,99967,9,99966,17,,,99969,9,99970,17,,,99968,30.890625
0,2000,DIVING_GEAR,99959,10,99958,14,,,99961,10,99962,14,,,99960,39.0234375
0,2100,DIVING_GEAR,99947,21,,,,,99950,21,,,,,99948.5,50.625
0,2200,DIVING_GEAR,99946,6,99945,15,,,99948,6,99949,15,,,99947,52.1171875
0,2300,DIVING_GEAR,99938,6,99937,18,,,99940,6,99941,18,,,99939,60.1015625
0,2400,DIVING_GEAR,99939,20,,,,,99942,20,,,,,99940.5,58.40625
0,2500,DIVING_GEAR,99940,22,,,,,99943,22,,,,,99941.5,57.4296875
0,2600,DIVING_GEAR,99939,24,,,,,99942,24,,,,,99940.5,58.609375
0,2700,DIVING_GEAR,99923,27,,,,,99926,27,,,,,99924.5,74.4609375
0,2800,DIVING_GEAR,99920,5,99919,20,,,99922,5,99923,20,,,99921,77.859375
0,2900,DIVING_GEAR,99920,7,99919,18,,,99922,7,99923,18,,,99921,78.1796875
0,3000,DIVING_GEAR,99920,20,,,,,99923,20,,,,,99921.5,77.46875
0,3100,DIVING_GEAR,99911,8,99910,19,,,99913,8,99914,19,,,99912,87.109375
0,3200,DIVING_GEAR,99908,7,99907,12,,,99910,7,99911,12,,,99909,90.125
0,3300,DIVING_GEAR,99901,15,,,,,99904,15,,,,,99902.5,96.2890625
0,3400,DIVING_GEAR,99896,17,,,,,99899,17,,,,,99897.5,101.390625
0,3500,DIVING_GEAR,99903,17,,,,,99906,17,,,,,99904.5,94.71875
0,3600,DIVING_GEAR,99898,7,99897,16,,,99900,7,99901,16,,,99899,99.8125
0,3700,DIVING_GEAR,99898,7,99897,10,,,99900,7,99901,10,,,99899,100.0234375
0,3800,DIVING_GEAR,99903,18,,,,,99906,18,,,,,99904.5,94.46875
0,3900,DIVING_GEAR,99900,5,99899,10,,,99902,5,99903,10,,,99901,98.1484375
0,4000,DIVING_GEAR,99899,8,99898,13,,,99901,8,99902,13,,,99900,98.859375
0,4100,DIVING_GEAR,99900,6,99899,19,,,99902,6,99903,19,,,99901,98.171875
0,4200,DIVING_GEAR,99900,8,99899,12,,,99902,8,99903,12,,,99901,97.78125
0,4300,DIVING_GEAR,99892,20,,,,,99895,20,,,,,99893.5,105.5
0,4400,DIVING_GEAR,99893,8,99892,18,,,99895,8,99896,18,,,99894,105.03125
0,4500,DIVING_GEAR,99901,19,,,,,99904,19,,,,,99902.5,96.484375
0,4600,DIVING_GEAR,99892,7,99891,12,,,99894,7,99895,12,,,99893,106.2265625
0,4700,DIVING_GEAR,99897,10,99896,18,,,99899,10,99900,18,,,99898,100.828125
0,4800,DIVING_GEAR,99898,7,99897,15,,,99900,7,99901,15,,,99899,100.0859375
0,4900,DIVING_GEAR,99894,10,99893,10,,,99896,10,99897,10,,,99895,104.1328125
0,5000,DIVING_GEAR,99906,19,,,,,99909,19,,,,,99907.5,91.5546875
0,5100,DIVING_GEAR,99911,5,99910,15,,,99913,5,99914,15,,,99912,86.765625
0,5200,DIVING_GEAR,99903,24,,,,,99906,24,,,,,99904.5,94.3203125
0,5300,DIVING_GEAR,99904,5,99903,14,,,99906,5,99907,14,,,99905,93.859375
0,5400,DIVING_GEAR,99908,10,99907,20,,,99910,10,99911,20,,,99909,90.234375
0,5500,DIVING_GEAR,99906,27,,,,,99909,27,,,,,99907.5,91.4296875
0,5600,DIVING_GEAR,99912,1,99911,7,99910,12,99913,7,99914,12,,,99912.5,87.140625
0,5700,DIVING_GEAR,99910,18,,,,,99913,18,,,,,99911.5,87.5703125
0,5800,DIVING_GEAR,99914,19,,,,,99917,19,,,,,99915.5,83.3828125
0,5900,DIVING_GEAR,99923,26,,,,,99926,26,,,,,99924.5,74.3359375
0,6000,DIVING_GEAR,99919,16,,,,,99922,16,,,,,99920.5,78.59375
0,6100,DIVING_GEAR,99920,17,,,,,99923,17,,,,,99921.5,77.3203125
0,6200,DIVING_GEAR,99918,5,99917,13,,,99920,18,,,,,99919,80.25
0,6300,DIVING_GEAR,99918,27,,,,,99921,27,,,,,99919.5,79.453125
0,6400,DIVING_GEAR,99911,10,99910,16,,,99913,10,99914,16,,,99912,86.9375
0,6500,DIVING_GEAR,99907,29,,,,,99910,29,,,,,99908.5,90.59375
0,6600,DIVING_GEAR,99906,7,99905,14,,,99908,7,99909,14,,,99907,91.8359375
0,6700,DIVING_GEAR,99912,10,99911,18,,,99914,10,99915,18,,,99913,86.1875
0,6800,DIVING_GEAR,99919,9,99918,17,,,99921,9,99922,17,,,99920,78.984375
0,6900,DIVING_GEAR,99910,30,,,,,99913,30,,,,,99911.5,87.328125
0,7000,DIVING_GEAR,99905,18,,,,,99908,18,,,,,99906.5,105
0,7100,DIVING_GEAR,99909,23,,,,,99912,23,,,,,99910.5,92.8125
0,7200,DIVING_GEAR,99897,10,99896,11,,,99899,10,99900,11,,,99898,130.46875
0,7300,DIVING_GEAR,99894,25,,,,,99897,25,,,,,99895.5,139.21875
0,7400,DIVING_GEAR,99893,19,,,,,99896,19,,,,,99894.5,141.0625
0,7500,DIVING_GEAR,99901,20,,,,,99904,20,,,,,99902.5,98.3125
0,7600,DIVING_GEAR,99906,7,99905,10,,,99908,7,99909,10,,,99907,76.65625
0,7700,DIVING_GEAR,99904,10,99903,15,,,99906,10,99907,15,,,99905,86.96875
0,7800,DIVING_GEAR,99901,21,,,,,99904,21,,,,,99902.5,98.625
0,7900,DIVING_GEAR,99900,8,99899,15,,,99902,8,99903,15,,,99901,106.5625
0,8000,DIVING_GEAR,99909,23,,,,,99912,23,,,,,99910.5,58.65625
0,8100,DIVING_GEAR,99907,10,99906,15,,,99909,10,99910,15,,,99908,72.125
0,8200,DIVING_GEAR,99905,6,99904,11,,,99907,6,99908,11,,,99906,81.75
0,8300,DIVING_GEAR,99907,7,99906,17,,,99909,7,99910,17,,,99908,70.6875
0,8400,DIVING_GEAR,99906,26,,,,,99909,26,,,,,99907.5,74.5625
0,8500,DIVING_GEAR,99905,8,99904,11,,,99907,8,99908,11,,,99906,80.6875
0,8600,DIVING_GEAR,99898,8,99897,12,,,99900,10,99901,12,,,99899,127.8125
0,8700,DIVING_GEAR,99898,8,99897,13,,,99900,8,99901,13,,,99899,128.5
0,8800,DIVING_GEAR,99895,5,99894,15,,,99897,5,99898,15,,,99896,153.75
0,8900,DIVING_GEAR,99902,16,,,,,99905,16,,,,,99903.5,87.6875
0,9000,DIVING_GEAR,99906,16,,,,,99909,16,,,,,99907.5,50.8125
0,9100,DIVING_GEAR,99906,25,,,,,99909,25,,,,,99907.5,52.25
0,9200,DIVING_GEAR,99910,28,,,,,99913,28,,,,,99911.5,14.5
0,9300,DIVING_GEAR,99908,16,,,,,99911,16,,,,,99909.5,33.75
0,9400,DIVING_GEAR,99915,9,99914,15,,,99917,9,99918,15,,,99916,-25.6875
0,9500,DIVING_GEAR,99915,6,99914,14,,,99917,6,99918,14,,,99916,-25.375
0,9600,DIVING_GEAR,99918,22,,,,,99921,22,,,,,99919.5,-58.3125
0,9700,DIVING_GEAR,99910,23,,,,,99913,23,,,,,99911.5,14.875
0,9800,DIVING_GEAR,99912,20,,,,,99915,20,,,,,99913.5,-4.6875
0,9900,DIVING_GEAR,99902,9,99901,13,,,99904,9,99905,13,,,99903,91
0,10000,DIVING_GEAR,99889,28,,,,,99892,28,,,,,99890.5,206.375
0,10100,DIVING_GEAR,99887,20,,,,,99890,20,,,,,99888.5,223.6875
0,10200,DIVING_GEAR,99881,20,,,,,99884,20,,,,,99882.5,274.75
0,10300,DIVING_GEAR,99882,26,,,,,99885,26,,,,,99883.5,265.5
0,10400,DIVING_GEAR,99897,7,99896,16,,,99899,7,99900,16,,,99898,138.5
0,10500,DIVING_GEAR,99891,28,,,,,99894,28,,,,,99892.5,185.625
0,10600,DIVING_GEAR,99887,27,,,,,99890,27,,,,,99888.5,226.375
0,10700,DIVING_GEAR,99890,1,99889,9,99888,14,99891,9,99892,14,,,99890.5,213.5625
0,10800,DIVING_GEAR,99892,6,99891,18,,,99894,6,99895,18,,,99893,182.625
0,10900,DIVING_GEAR,99891,6,99890,11,,,99893,6,99894,11,,,99892,193.75
0,11000,DIVING_GEAR,99889,24,,,,,99892,24,,,,,99890.5,206.8125
0,11100,DIVING_GEAR,99894,7,99893,18,,,99896,7,99897,18,,,99895,162.6875
0,11200,DIVING_GEAR,99897,19,,,,,99900,19,,,,,99898.5,130.125
0,11300,DIVING_GEAR,99891,10,99890,10,,,99893,10,99894,10,,,99892,195.1875
0,11400,DIVING_GEAR,99890,24,,,,,99893,24,,,,,99891.5,200.25
0,11500,DIVING_GEAR,99890,24,,,,,99893,24,,,,,99891.5,198.125
0,11600,DIVING_GEAR,99884,9,99883,12,,,99886,9,99887,12,,,99885,264.5625
0,11700,DIVING_GEAR,99885,22,,,,,99888,22,,,,,99886.5,248.3125
0,11800,DIVING_GEAR,99880,9,99879,19,,,99882,9,99883,19,,,99881,302.375
0,11900,DIVING_GEAR,99886,10,99885,17,,,99888,10,99889,17,,,99887,241.25
0,12000,DIVING_GEAR,99887,22,,,,,99890,22,,,,,99888.5,229.25
0,12100,DIVING_GEAR,99888,6,99887,18,,,99890,6,99891,18,,,99889,223.6875
0,12200,DIVING_GEAR,99884,6,99883,12,,,99886,6,99887,12,,,99885,261
0,12300,DIVING_GEAR,99883,24,,,,,99886,24,,,,,99884.5,268.5625
0,12400,DIVING_GEAR,99871,7,99870,11,,,99873,7,99874,11,,,99872,394.3125
0,12500,DIVING_GEAR,99863,21,,,,,99866,21,,,,,99864.5,465.5625
0,12600,DIVING_GEAR,99866,8,99865,12,,,99868,8,99869,12,,,99867,442.875
0,12700,DIVING_GEAR,99852,26,,,,,99855,26,,,,,99853.5,576.8125
0,12800,DIVING_GEAR,99858,9,99857,13,,,99860,9,99861,13,,,99859,523.625
0,12900,DIVING_GEAR,99847,7,99846,15,,,99849,7,99850,15,,,99848,633.5625
0,13000,DIVING_GEAR,99851,21,,,,,99854,21,,,,,99852.5,586.0625
0,13100,DIVING_GEAR,99846,25,,,,,99849,25,,,,,99847.5,639.3125
0,13200,DIVING_GEAR,99851,26,,,,,99854,26,,,,,99852.5,590.4375
0,13300,DIVING_GEAR,99852,10,99851,15,,,99854,10,99855,15,,,99853,582.25
0,13400,DIVING_GEAR,99842,19,,,,,99845,19,,,,,99843.5,679
0,13500,DIVING_GEAR,99850,25,,,,,99852,9,99853,16,,,99851,600.5
0,13600,DIVING_GEAR,99859,24,,,,,99862,24,,,,,99860.5,509.875
0,13700,DIVING_GEAR,99859,5,99858,19,,,99861,5,99862,19,,,99860,514.125
0,13800,DIVING_GEAR,99857,8,99856,12,,,99859,8,99860,12,,,99858,531.4375
0,13900,DIVING_GEAR,99856,10,99855,20,,,99858,10,99859,20,,,99857,541.625
0,14000,DIVING_GEAR,99850,8,99849,13,,,99852,8,99853,13,,,99851,603
0,14100,DIVING_GEAR,99857,6,99856,20,,,99859,6,99860,20,,,99858,533.9375
0,14200,DIVING_GEAR,99853,18,,,,,99856,18,,,,,99854.5,568.25
0,14300,DIVING_GEAR,99853,9,99852,20,,,99855,9,99856,20,,,99854,571.5
0,14400,DIVING_GEAR,99848,8,99847,16,,,99850,8,99851,16,,,99849,621.5
0,14500,DIVING_GEAR,99844,9,99843,14,,,99846,9,99847,14,,,99845,661
0,14600,DIVING_GEAR,99836,9,99835,11,,,99838,9,99839,11,,,99837,741.4375
0,14700,DIVING_GEAR,99844,10,99843,11,,,99846,10,99847,11,,,99845,662.4375
0,14800,DIVING_GEAR,99843,10,99842,14,,,99845,10,99846,14,,,99844,672.25
0,14900,DIVING_GEAR,99849,7,99848,15,,,99851,7,99852,15,,,99850,590.125
0,15000,DIVING_GEAR,99849,2,99848,13,,,99851,5,99852,13,,,99850,585.375
0,15100,DIVING_GEAR,99845,10,99844,14,,,99847,10,99848,14,,,99846,655.5
0,15200,DIVING_GEAR,99843,5,99842,11,,,99845,5,99846,11,,,99844,688.5
0,15300,DIVING_GEAR,99839,19,,,,,99841,5,99842,14,,,99840,745
0,15400,DIVING_GEAR,99839,27,,,,,99842,27,,,,,99840.5,744.25
0,15500,DIVING_GEAR,99837,5,99836,15,,,99839,5,99840,15,,,99838,782.25
0,15600,DIVING_GEAR,99835,8,99834,18,,,99837,8,99838,18,,,99836,812.5
0,15700,DIVING_GEAR,99826,18,,,,,99829,18,,,,,99827.5,951.375
0,15800,DIVING_GEAR,99821,17,,,,,99824,17,,,,,99822.5,1032.625
0,15900,DIVING_GEAR,99831,25,,,,,99834,25,,,,,99832.5,866.375
0,16000,DIVING_GEAR,99827,21,,,,,99830,21,,,,,99828.5,934
0,16100,DIVING_GEAR,99821,8,99820,15,,,99823,8,99824,15,,,99822,1040.25
0,16200,DIVING_GEAR,99823,6,99822,10,,,99825,6,99826,10,,,99824,1006.375
0,16300,DIVING_GEAR,99832,5,99831,16,,,99834,21,,,,,99833,865
0,16400,DIVING_GEAR,99822,23,,,,,99825,23,,,,,99823.5,1036.625
0,16500,DIVING_GEAR,99821,27,,,,,99824,27,,,,,99822.5,1061.625
0,16600,DIVING_GEAR,99817,26,,,,,99820,26,,,,,99818.5,1137.375
0,16700,DIVING_GEAR,99806,6,99805,16,,,99808,6,99809,16,,,99807,1347.875
0,16800,DIVING_GEAR,99811,9,99810,14,,,99813,9,99814,14,,,99812,1260.25
0,16900,DIVING_GEAR,99810,24,,,,,99813,24,,,,,99811.5,1263.25
0,17000,DIVING_GEAR,99811,6,99810,20,,,99813,6,99814,20,,,99812,1254.75
0,17100,DIVING_GEAR,99806,20,,,,,99809,20,,,,,99807.5,1344.875
0,17200,DIVING_GEAR,99809,10,99808,10,,,99811,10,99812,10,,,99810,1290.75
0,17300,DIVING_GEAR,99806,9,99805,11,,,99808,9,99809,11,,,99807,1355.25
0,17400,DIVING_GEAR,99805,7,99804,13,,,99807,7,99808,13,,,99806,1372.5
0,17500,DIVING_GEAR,99798,8,99797,11,,,99800,8,99801,11,,,99799,1505
0,17600,DIVING_GEAR,99790,25,,,,,99793,25,,,,,99791.5,1650.5
0,17700,DIVING_GEAR,99798,19,,,,,99801,19,,,,,99799.5,1491.125
0,17800,DIVING_GEAR,99795,22,,,,,99798,22,,,,,99796.5,1551.75
0,17900,DIVING_GEAR,99797,18,,,,,99800,18,,,,,99798.5,1516.25
0,18000,DIVING_GEAR,99797,7,99796,13,,,99799,7,99800,13,,,99798,1521
0,18100,DIVING_GEAR,99794,17,,,,,99797,17,,,,,99795.5,1582.25
0,18200,DIVING_GEAR,99791,7,99790,11,,,99793,4,99794,11,,,99792,1655.5
0,18300,DIVING_GEAR,99795,6,99794,10,,,99797,6,99798,10,,,99796,1556.75
0,18400,DIVING_GEAR,99793,6,99792,13,,,99795,6,99796,13,,,99794,1604.25
0,18500,DIVING_GEAR,99792,5,99791,18,,,99794,5,99795,18,,,99793,1628.25
0,18600,DIVING_GEAR,99792,20,,,,,99795,20,,,,,99793.5,1625
0,18700,DIVING_GEAR,99799,22,,,,,99802,22,,,,,99800.5,1440.25
0,18800,DIVING_GEAR,99804,5,99803,17,,,99806,5,99807,17,,,99805,1333.5
0,18900,DIVING_GEAR,99806,23,,,,,99809,23,,,,,99807.5,1273.5
0,19000,DIVING_GEAR,99803,8,99802,16,,,99805,8,99806,16,,,99804,1362.25
0,19100,DIVING_GEAR,99794,5,99793,16,,,99796,5,99797,16,,,99795,1579.75
0,19200,DIVING_GEAR,99800,10,99799,10,,,99802,10,99803,10,,,99801,1430.75
0,19300,DIVING_GEAR,99806,10,99805,17,,,99808,10,99809,17,,,99807,1279
0,19400,DIVING_GEAR,99805,26,,,,,99808,26,,,,,99806.5,1301.25
0,19500,DIVING_GEAR,99808,16,,,,,99811,16,,,,,99809.5,1216.5
0,19600,DIVING_GEAR,99813,26,,,,,99816,26,,,,,99814.5,1093.75
0,19700,DIVING_GEAR,99819,5,99818,16,,,99821,5,99822,16,,,99820,952
0,19800,DIVING_GEAR,99824,25,,,,,99827,25,,,,,99825.5,790
0,19900,DIVING_GEAR,99821,25,,,,,99824,25,,,,,99822.5,870.5
0,20000,DIVING_GEAR,99831,5,99830,14,,,99833,5,99834,14,,,99832,604
0,20100,DIVING_GEAR,99823,20,,,,,99826,20,,,,,99824.5,823.75
0,20200,DIVING_GEAR,99829,5,99828,14,,,99831,5,99832,14,,,99830,672
0,20300,DIVING_GEAR,99832,10,99831,15,,,99834,10,99835,15,,,99833,585.5
0,20400,DIVING_GEAR,99837,21,,,,,99840,21,,,,,99838.5,423
0,20500,DIVING_GEAR,99849,9,99848,11,,,99851,9,99852,11,,,99850,68.75
0,20600,DIVING_GEAR,99858,23,,,,,99861,23,,,,,99859.5,-211
0,20700,DIVING_GEAR,99851,22,,,,,99854,22,,,,,99852.5,5.25
0,20800,DIVING_GEAR,99840,26,,,,,99843,26,,,,,99841.5,324
0,20900,DIVING_GEAR,99846,6,99845,11,,,99848,6,99849,11,,,99847,170.25
0,21000,DIVING_GEAR,99839,28,,,,,99842,28,,,,,99840.5,362
0,21100,DIVING_GEAR,99839,16,,,,,99842,16,,,,,99840.5,364.5
0,21200,DIVING_GEAR,99844,27,,,,,99847,27,,,,,99845.5,206.5
0,21300,DIVING_GEAR,99834,8,99833,14,,,99836,8,99837,14,,,99835,516.75
0,21400,DIVING_GEAR,99821,8,99820,15,,,99823,8,99824,15,,,99822,915.25
0,21500,DIVING_GEAR,99822,21,,,,,99825,21,,,,,99823.5,866.5
0,21600,DIVING_GEAR,99824,2,99823,10,99822,16,99825,10,99826,16,,,99824.5,858.5
0,21700,DIVING_GEAR,99821,29,,,,,99824,29,,,,,99822.5,904.75
0,21800,DIVING_GEAR,99821,20,,,,,99824,20,,,,,99822.5,897.75
0,21900,DIVING_GEAR,99816,6,99815,16,,,99818,6,99819,16,,,99817,1060.5
0,22000,DIVING_GEAR,99806,25,,,,,99809,25,,,,,99807.5,1346.25
0,22100,DIVING_GEAR,99805,15,,,,,99808,15,,,,,99806.5,1377.75
0,22200,DIVING_GEAR,99799,18,,,,,99802,18,,,,,99800.5,1561.25
0,22300,DIVING_GEAR,99789,10,99788,11,,,99791,10,99792,11,,,99790,1871.75
0,22400,DIVING_GEAR,99792,20,,,,,99794,9,99795,11,,,99793,1776.5
0,22500,DIVING_GEAR,99792,10,99791,12,,,99794,10,99795,12,,,99793,1788.5
0,22600,DIVING_GEAR,99794,22,,,,,99797,22,,,,,99795.5,1712
0,22700,DIVING_GEAR,99788,8,99787,11,,,99790,8,99791,11,,,99789,1898.75
0,22800,DIVING_GEAR,99784,5,99783,10,,,99786,5,99787,10,,,99785,2032
0,22900,DIVING_GEAR,99777,20,,,,,99780,20,,,,,99778.5,2239.5
