day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-1,0,PINA_COLADAS,14999,38,14998,53,,,15001,38,15002,53,,,15000.0,0.0
-1,100,PINA_COLADAS,14999,31,14998,64,,,15001,31,15002,64,,,15000.0,0.0
-1,1000,PINA_COLADAS,15005,86,,,,,15008,86,,,,,15006.5,0.0
-1,10000,PINA_COLADAS,15021,91,,,,,15024,91,,,,,15022.5,-100.859375
-1,100000,PINA_COLADAS,14929,110,,,,,14932,39,14933,71,,,14930.5,11849.5
-1,100100,PINA_COLADAS,14928,101,,,,,14929,34,14931,101,,,14928.5,12048.5
-1,100200,PINA_COLADAS,14930,35,14929,75,,,14932,35,14933,75,,,14931.0,11832.0
-1,100300,PINA_COLADAS,14932,88,,,,,14935,88,,,,,14933.5,11323.75
-1,100400,PINA_COLADAS,14937,84,,,,,14940,84,,,,,14938.5,10389.0
-1,100500,PINA_COLADAS,14938,92,,,,,14941,92,,,,,14939.5,10171.75
-1,100600,PINA_COLADAS,14938,98,,,,,14941,98,,,,,14939.5,10243.25
-1,100700,PINA_COLADAS,14936,95,,,,,14939,95,,,,,14937.5,10595.5
-1,100800,PINA_COLADAS,14936,2,14935,52,,,14938,25,14939,52,,,14937.0,10668.0
-1,100900,PINA_COLADAS,14935,75,,,,,14938,75,,,,,14936.5,10807.25
-1,10100,PINA_COLADAS,15023,97,,,,,15026,97,,,,,15024.5,-118.15625
-1,101000,PINA_COLADAS,14938,88,,,,,14941,88,,,,,14939.5,10073.5
-1,101100,PINA_COLADAS,14938,91,,,,,14941,91,,,,,14939.5,10152.75
-1,101200,PINA_COLADAS,14938,30,14937,67,,,14941,97,,,,,14939.5,10189.0
-1,101300,PINA_COLADAS,14936,103,,,,,14939,103,,,,,14937.5,10580.25
-1,101400,PINA_COLADAS,14940,92,,,,,14943,92,,,,,14941.5,9705.0
-1,101500,PINA_COLADAS,14941,36,14940,68,,,14944,104,,,,,14942.5,9549.0
-1,101600,PINA_COLADAS,14941,29,14940,64,,,14943,29,14944,64,,,14942.0,9559.75
-1,101700,PINA_COLADAS,14939,110,,,,,14942,38,14943,72,,,14940.5,9827.75
-1,101800,PINA_COLADAS,14938,114,,,,,14939,22,14941,40,14942,74,14938.5,10039.75
-1,101900,PINA_COLADAS,14938,86,,,,,14941,86,,,,,14939.5,10152.5
-1,10200,PINA_COLADAS,15027,98,,,,,15030,98,,,,,15028.5,-160.03125
-1,102000,PINA_COLADAS,14938,76,,,,,14941,76,,,,,14939.5,10158.25
-1,102100,PINA_COLADAS,14938,78,,,,,14941,78,,,,,14939.5,10177.0
-1,102200,PINA_COLADAS,14932,84,,,,,14935,23,14936,61,,,14933.5,11321.75
-1,102300,PINA_COLADAS,14933,77,,,,,14936,77,,,,,14934.5,11119.0
-1,102400,PINA_COLADAS,14935,95,,,,,14938,95,,,,,14936.5,10768.5
-1,102500,PINA_COLADAS,14934,71,,,,,14937,21,14938,50,,,14935.5,10885.25
-1,102600,PINA_COLADAS,14932,30,14931,58,,,14934,30,14935,58,,,14933.0,11523.0
-1,102700,PINA_COLADAS,14933,38,14932,60,,,14935,38,14936,60,,,14934.0,11309.75
-1,102800,PINA_COLADAS,14930,33,14929,74,,,14932,33,14933,74,,,14931.0,11942.0
-1,102900,PINA_COLADAS,14931,90,,,,,14934,90,,,,,14932.5,11559.5
