day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
2,0,PINA_COLADAS,14850,72,,,,,14853,72,,,,,14851.5,0
2,100,PINA_COLADAS,14853,92,,,,,14856,92,,,,,14854.5,-445.75
2,200,PINA_COLADAS,14853,83,,,,,14856,83,,,,,14854.5,-613
2,300,PINA_COLADAS,14858,101,,,,,14861,101,,,,,14859.5,-2061.5
2,400,PINA_COLADAS,14855,103,,,,,14858,40,14859,63,,,14856.5,-1387.5
2,500,PINA_COLADAS,14854,95,,,,,14857,95,,,,,14855.5,-1006.5
2,600,PINA_COLADAS,14852,29,14851,62,,,14854,29,14855,62,,,14853,-317.5
2,700,PINA_COLADAS,14852,36,14851,99,,,14854,99,,,,,14853,-219.5
2,800,PINA_COLADAS,14848,36,14847,73,,,14851,109,,,,,14849.5,783
2,900,PINA_COLADAS,14850,88,,,,,14853,88,,,,,14851.5,73.5
2,1000,PINA_COLADAS,14852,28,14851,65,,,14854,28,14855,65,,,14853,-319.5
2,1100,PINA_COLADAS,14852,107,,,,,14855,107,,,,,14853.5,-389.5
2,1200,PINA_COLADAS,14850,86,,,,,14853,86,,,,,14851.5,201
2,1300,PINA_COLADAS,14848,106,,,,,14851,106,,,,,14849.5,691
2,1400,PINA_COLADAS,14848,84,,,,,14851,84,,,,,14849.5,677.5
2,1500,PINA_COLADAS,14850,90,,,,,14853,90,,,,,14851.5,95
2,1600,PINA_COLADAS,14848,101,,,,,14851,101,,,,,14849.5,675.5
2,1700,PINA_COLADAS,14847,94,,,,,14850,94,,,,,14848.5,975.5
2,1800,PINA_COLADAS,14847,80,,,,,14850,80,,,,,14848.5,948
2,1900,PINA_COLADAS,14848,91,,,,,14851,27,14852,64,,,14849.5,591.5
2,2000,PINA_COLADAS,14847,31,14846,95,,,14849,95,,,,,14848,1314.5
2,2100,PINA_COLADAS,14845,94,,,,,14848,94,,,,,14846.5,1475.5
2,2200,PINA_COLADAS,14843,39,14842,60,,,14845,39,14846,60,,,14844,2271.5
2,2300,PINA_COLADAS,14843,100,,,,,14846,100,,,,,14844.5,2021
2,2400,PINA_COLADAS,14844,76,,,,,14847,26,14848,50,,,14845.5,1729
2,2500,PINA_COLADAS,14844,87,,,,,14847,87,,,,,14845.5,1775
2,2600,PINA_COLADAS,14847,108,,,,,14850,38,14851,70,,,14848.5,882.5
2,2700,PINA_COLADAS,14847,24,14846,56,,,14850,80,,,,,14848.5,1071.5
2,2800,PINA_COLADAS,14844,36,14843,86,,,14846,86,,,,,14845,2160.5
2,2900,PINA_COLADAS,14840,105,,,,,14843,105,,,,,14841.5,3008.5
2,3000,PINA_COLADAS,14840,39,14839,60,,,14842,39,14843,60,,,14841,3113
2,3100,PINA_COLADAS,14840,104,,,,,14843,104,,,,,14841.5,2945.5
2,3200,PINA_COLADAS,14839,85,,,,,14842,85,,,,,14840.5,3304
2,3300,PINA_COLADAS,14836,101,,,,,14839,101,,,,,14837.5,4066
2,3400,PINA_COLADAS,14837,85,,,,,14840,85,,,,,14838.5,3735
2,3500,PINA_COLADAS,14840,39,14839,72,,,14842,39,14843,72,,,14841,3076
2,3600,PINA_COLADAS,14838,88,,,,,14841,88,,,,,14839.5,3525
2,3700,PINA_COLADAS,14836,22,14835,56,,,14838,22,14839,56,,,14837,4202
2,3800,PINA_COLADAS,14837,89,,,,,14840,89,,,,,14838.5,3861.5
2,3900,PINA_COLADAS,14839,21,14838,64,,,14841,21,14842,64,,,14840,3404.5
2,4000,PINA_COLADAS,14833,92,,,,,14836,92,,,,,14834.5,4960
2,4100,PINA_COLADAS,14834,81,,,,,14837,81,,,,,14835.5,4620
2,4200,PINA_COLADAS,14837,80,,,,,14840,80,,,,,14838.5,3804.5
2,4300,PINA_COLADAS,14840,33,14839,66,,,14843,99,,,,,14841.5,3063
2,4400,PINA_COLADAS,14838,85,,,,,14841,85,,,,,14839.5,3471.5
